VariableName,Attribute,Use in Analysis
V00RXSAME,EV:MIF: Rx S-adenosylmethionine use indicator (calc),1.0
P01RATOTCV,SV:Q9.RA symptoms: total score for questions #2 through #8 (calc),1.0
P02CNCOTH,"IEI:Cancer type: colon, uterine and other, self-reported (calc)",1.0
P01RAWE6L,"SV:RA symptoms: left wrist or elbow swelling, ever had lasting more than 6 weeks (calc)",1.0
P01HRSRFXO,"SV:Right hip replacement reason, hip fracture or other (calc)",1.0
P01HRSLFXO,"SV:Left hip replacement reason, hip fracture or other (calc)",1.0
P01RAWE6R,"SV:RA symptoms: right wrist or elbow swelling, ever had lasting more than 6 weeks (calc)",1.0
V00OTHCAMC,EV:CAM: currently seeing ayurveda/biofeedback/energy healing/hypnosis/naturopathy practitioner for arthritis or joint pain (calc),1.0
V00OTHCAM,"EV:CAM: seen ayurveda/biofeedback/energy healing/hypnosis/naturopathy practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00FFQ1,"SAQ:Block Brief 2000: eggs (include egg biscuits/Egg McMuffins (not egg substitutes)), eat how often, past 12 months",1.0
V00FFQSZ1,"SAQ:Block Brief 2000: eggs (not egg substitutes), how many each time",1.0
V00FFQ2,"SAQ:Block Brief 2000: bacon/breakfast sausage (including sausage biscuit), eat how often, past 12 months",1.0
V00FFQSZ2,"SAQ:Block Brief 2000: bacon/breakfast sausage, how many pieces each time",1.0
V00FFQ3,"SAQ:Block Brief 2000: cooked cereals (e.g., oatmeal/cream of wheat/grits) eat how often, past 12 months",1.0
V00FFQSZ3,"SAQ:Block Brief 2000: cooked cereals, which bowl each time",1.0
V00FFQ4,"SAQ:Block Brief 2000: cold cereals (e.g., Corn Flakes/Cheerios...), eat how often, past 12 months",1.0
V00FFQSZ4,"SAQ:Block Brief 2000: cold cereals, which bowl each time",1.0
V00FFQ5,"SAQ:Block Brief 2000: cereal, which eat most often",1.0
V00FFQ6,"SAQ:Block Brief 2000: cheese/sliced cheese/cheese spread (including on sandwiches), eat how often, past 12 months",1.0
V00FFQSZ6,"SAQ:Block Brief 2000: cheese, how many slices each time",1.0
V00FFQ7,"SAQ:Block Brief 2000: yogurt (not frozen yogurt), eat how often, past 12 months",1.0
V00FFQSZ7,"SAQ:Block Brief 2000: yogurt (not frozen yogurt), how much each time",1.0
V00FFQ8,"SAQ:Block Brief 2000: bananas, eat how often, past 12 months",1.0
V00FFQSZ8,"SAQ:Block Brief 2000: bananas, how many each time",1.0
V00FFQ9,"SAQ:Block Brief 2000: apples/pears, eat how often, past 12 months",1.0
V00FFQSZ9,"SAQ:Block Brief 2000: apples/pears, how many each time",1.0
V00FFQ10,"SAQ:Block Brief 2000: oranges/tangerines (not including juice), eat how often, past 12 months",1.0
V00FFQSZ10,"SAQ:Block Brief 2000: oranges/tangerines, how many each time",1.0
V00FFQ11,"SAQ:Block Brief 2000: applesauce/fruit cocktail/any canned fruit, eat how often, past 12 months",1.0
V00FFQSZ11,"SAQ:Block Brief 2000: applesauce/fruit cocktail/any canned fruit, how much each time",1.0
V00FFQ12,"SAQ:Block Brief 2000: any other fruit (e.g., grapes/melon/strawberries/peaches), eat how often, past 12 months",1.0
V00FFQSZ12,"SAQ:Block Brief 2000: any other fruit, how much each time",1.0
V00FFQ13,"SAQ:Block Brief 2000: french fries/fried potatoes/hash browns, eat how often, past 12 months",1.0
V00FFQSZ13,"SAQ:Block Brief 2000: french fries/fried potatoes/hash browns, how much each time",1.0
V00FFQ14,"SAQ:Block Brief 2000: white potatoes not fried (including boiled/baked/mashed/potato salad), eat how often, past 12 months",1.0
V00FFQSZ14,"SAQ:Block Brief 2000: white potatoes not fried, how much each time",1.0
V00FFQ15,"SAQ:Block Brief 2000: sweet potatoes/yams/sweet potato pie, eat how often, past 12 months",1.0
V00FFQSZ15,"SAQ:Block Brief 2000: sweet potatoes/yams/sweet potato pie, how much each time",1.0
V00FFQ16,"SAQ:Block Brief 2000: rice/dishes made with rice, eat how often, past 12 months",1.0
V00FFQSZ16,"SAQ:Block Brief 2000: rice/dishes made with rice, how much each time",1.0
V00FFQ17,"SAQ:Block Brief 2000: baked beans/chili with beans/pintos/any other dried beans, eat how often, during past 12 months",1.0
V00FFQSZ17,"SAQ:Block Brief 2000: baked beans/chili with beans/pintos/any other dried beans, how much each time",1.0
V00FFQ18,"SAQ:Block Brief 2000: refried beans, eat how often, past 12 months",1.0
V00FFQSZ18,"SAQ:Block Brief 2000: refried beans, how much each time",1.0
V00FFQ19,"SAQ:Block Brief 2000: green beans/green peas, eat how often, past 12 months",1.0
V00FFQSZ19,"SAQ:Block Brief 2000: green beans/green peas, how much each time",1.0
V00FFQ20,"SAQ:Block Brief 2000: broccoli, eat how often, past 12 months",1.0
V00FFQSZ20,"SAQ:Block Brief 2000: broccoli, how much each time",1.0
V00FFQ21,"SAQ:Block Brief 2000: carrots/stews or mixed vegetables containing carrots, eat how often, past 12 months",1.0
V00FFQSZ21,"SAQ:Block Brief 2000: carrots/stews or mixed vegetables containing carrots, how much each time",1.0
V00FFQ22,"SAQ:Block Brief 2000: spinach/greens (e.g., collards), eat how often, past 12 months",1.0
V00FFQSZ22,"SAQ:Block Brief 2000: spinach/greens, how much each time",1.0
V00FFQ23,"SAQ:Block Brief 2000: cole slaw/cabbage, eat how often, past 12 months",1.0
V00FFQSZ23,"SAQ:Block Brief 2000: cole slaw/cabbage, how much each time",1.0
V00FFQ24,"SAQ:Block Brief 2000: green salad, eat how often, past 12 months",1.0
V00FFQSZ24,"SAQ:Block Brief 2000: green salad, how much each time",1.0
V00FFQ25,"SAQ:Block Brief 2000: raw tomatoes (including in salad), eat how often, past 12 months",1.0
V00FFQSZ25,"SAQ:Block Brief 2000: raw tomatoes, how much each time",1.0
V00FFQ26,"SAQ:Block Brief 2000: catsup/salsa/chile peppers, eat how often, past 12 months",1.0
V00FFQSZ26,"SAQ:Block Brief 2000: catsup/salsa/chile peppers, how many TBSP each time",1.0
V00FFQ27,"SAQ:Block Brief 2000: salad dressing/mayonnaise (not lowfat), eat how often, past 12 months",1.0
V00FFQSZ27,"SAQ:Block Brief 2000: salad dressing/mayonnaise (not lowfat), how many TBSP each time",1.0
V00FFQ28,"SAQ:Block Brief 2000: any other vegetable (e.g., corn/squash/okra…), eat how often, past 12 months",1.0
V00FFQSZ28,"SAQ:Block Brief 2000: any other vegetable, how much each time",1.0
V00FFQ29,"SAQ:Block Brief 2000: vegetable soup/vegetable beef, chicken vegetable or tomato soup, eat how often, past 12 months",1.0
V00FFQSZ29,"SAQ:Block Brief 2000: vegetable soups, which bowl each time",1.0
V00FFQ30,"SAQ:Block Brief 2000: chicken/meat/fish, ever eat",1.0
V00FFQ31,"SAQ:Block Brief 2000: hamburgers/cheeseburgers/meat loaf (at home or in restaurant), eat how often, past 12 months",1.0
V00FFQSZ31,"SAQ:Block Brief 2000: meat (hamburgers...), how much each time",1.0
V00FFQ32,"SAQ:Block Brief 2000: tacos/burritos/enchiladas/tamales, eat how often, past 12 months",1.0
V00FFQSZ32,"SAQ:Block Brief 2000: tacos/burritos/enchiladas/tamales, how much each time",1.0
V00FFQ33,"SAQ:Block Brief 2000: beef steaks/roasts/pot roast (including in frozen dinners/sandwiches), eat how often, past 12 months",1.0
V00FFQSZ33,"SAQ:Block Brief 2000: beef steaks/roasts/pot roast, how much each time",1.0
V00FFQ34,"SAQ:Block Brief 2000: pork (including chops/roasts)/dinner ham, eat how much, past 12 months",1.0
V00FFQSZ34,"SAQ:Block Brief 2000: pork/dinner ham, how much each time",1.0
V00FFQ35,"SAQ:Block Brief 2000: beef/pork, when eat do you...",1.0
V00FFQ36,"SAQ:Block Brief 2000: mixed dishes with meat or chicken (e.g., stew/corned beef hash…or in frozen meals), eat how often, past 12 months",1.0
V00FFQSZ36,"SAQ:Block Brief 2000: mixed dishes with meat or chicken, how much each time",1.0
V00FFQ37,"SAQ:Block Brief 2000: fried chicken, at home or in a restaurant, eat how often, past 12 months",1.0
V00FFQSZ37,"SAQ:Block Brief 2000: fried chicken, number medium pieces each time",1.0
V00FFQ38,"SAQ:Block Brief 2000: chicken/turkey not fried (e.g., baked/grilled/on sandwiches), eat how often, past 12 months",1.0
V00FFQSZ38,"SAQ:Block Brief 2000: chicken/turkey not fried, how much each time",1.0
V00FFQ39,"SAQ:Block Brief 2000: chicken, when eat do you...",1.0
V00FFQ40,"SAQ:Block Brief 2000: fried fish/fish sandwich at home or in a restaurant, eat how often, past 12 months",1.0
V00FFQSZ40,"SAQ:Block Brief 2000: fried fish/fish sandwich, how much each time",1.0
V00FFQ41,"SAQ:Block Brief 2000: any other fish/shellfish not fried (including tuna), eat how often, past 12 months",1.0
V00FFQSZ41,"SAQ:Block Brief 2000: any other fish/shellfish not fried, how much each time",1.0
V00FFQ42,"SAQ:Block Brief 2000: hot dogs/sausage (e.g., Polish/Italian/Chorizo), eat how often, past 12 months",1.0
V00FFQSZ42,"SAQ:Block Brief 2000: hot dogs/sausage, how many each time",1.0
V00FFQ43,"SAQ:Block Brief 2000: boloney (bologna)/sliced ham/turkey lunch meat/other lunch meat, eat how often, past 12 months",1.0
V00FFQSZ43,"SAQ:Block Brief 2000: boloney/sliced ham/turkey lunch meat/other lunch meat, how many slices each time",1.0
V00FFQ44,"SAQ:Block Brief 2000: lunch meats, when eat are they...",1.0
V00FFQ45,"SAQ:Block Brief 2000: spaghetti/lasagna/other pasta with tomato sauce, eat how often, past 12 months",1.0
V00FFQSZ45,"SAQ:Block Brief 2000: spaghetti/lasagna/other pasta with tomato sauce, how much each time",1.0
V00FFQ46,"SAQ:Block Brief 2000: cheese dishes without tomato sauce (e.g., macaroni and cheese), eat how often, past 12 months",1.0
V00FFQSZ46,"SAQ:Block Brief 2000: cheese dishes without tomato sauce, how much each time",1.0
V00FFQ47,"SAQ:Block Brief 2000: pizza (including carry-out), eat how often, past 12 months",1.0
V00FFQSZ47,"SAQ:Block Brief 2000: pizza, how many slices each time",1.0
V00FFQ48,"SAQ:Block Brief 2000: biscuits/muffins, eat how often, past 12 months",1.0
V00FFQSZ48,"SAQ:Block Brief 2000: biscuits/muffins, how many each time",1.0
V00FFQ49,"SAQ:Block Brief 2000: rolls/hamburger buns/english muffins/bagels, eat how often, past 12 months",1.0
V00FFQSZ49,"SAQ:Block Brief 2000: rolls/hamburger buns/english muffins/bagels, how many each time",1.0
V00FFQ50,"SAQ:Block Brief 2000: white bread/toast (including French/Italian or in sandwiches), eat how often, past 12 months",1.0
V00FFQSZ50,"SAQ:Block Brief 2000: white bread/toast, how many slices each time",1.0
V00FFQ51,"SAQ:Block Brief 2000: dark bread (e.g., rye/whole wheat, including in sandwiches), eat how often, past 12 months",1.0
V00FFQSZ51,"SAQ:Block Brief 2000: dark bread, how many slices each time",1.0
V00FFQ52,"SAQ:Block Brief 2000: tortillas, eat how often, past 12 months",1.0
V00FFQSZ52,"SAQ:Block Brief 2000: tortillas, how many each time",1.0
V00FFQ53,"SAQ:Block Brief 2000: margarine on bread/potatoes/vegetables, eat how often, past 12 months",1.0
V00FFQSZ53,"SAQ:Block Brief 2000: margarine on bread/potatoes/vegetables, how many pats (tsp.) each time",1.0
V00FFQ54,"SAQ:Block Brief 2000: butter on bread/potatoes/vegetables, eat how often, past 12 months",1.0
V00FFQSZ54,"SAQ:Block Brief 2000: butter on bread/potatoes/vegetables, how many pats (tsp.) each time",1.0
V00FFQ55,"SAQ:Block Brief 2000: peanuts/peanut butter, eat how often, past 12 months",1.0
V00FFQSZ55,"SAQ:Block Brief 2000: peanuts/peanut butter, how many TBSP each time",1.0
V00FFQ56,"SAQ:Block Brief 2000: snacks (e.g., potato chips/corn chips/popcorn…not pretzels), eat how often, past 12 months",1.0
V00FFQSZ56,"SAQ:Block Brief 2000: snacks (not pretzels), how much each time",1.0
V00FFQ57,"SAQ:Block Brief 2000: doughnuts/cake/pastry/pie, eat how often, past 12 months",1.0
V00FFQSZ57,"SAQ:Block Brief 2000: doughnuts/cake/pastry/pie, how many pieces each time",1.0
V00FFQ58,"SAQ:Block Brief 2000: cookies (not lowfat), eat how often, past 12 months",1.0
V00FFQSZ58,"SAQ:Block Brief 2000: cookies (not lowfat), how many each time",1.0
V00FFQ59,"SAQ:Block Brief 2000: ice cream/frozen yogurt/ice cream bars, eat how often, past 12 months",1.0
V00FFQSZ59,"SAQ:Block Brief 2000: ice cream/frozen yogurt/ice cream bars, how much each time",1.0
V00FFQ60,"SAQ:Block Brief 2000: ice cream/frozen yogurt, when eat is it...",1.0
V00FFQ61,"SAQ:Block Brief 2000: chocolate candy/candy bars, eat how often, past 12 months",1.0
V00FFQSZ61,"SAQ:Block Brief 2000: chocolate candy/candy bars, how many bars each time",1.0
V00FFQ62,"SAQ:Block Brief 2000: real orange or grapefruit juice/Welch's grape juice/Minutemaid juices/Juicy Juice, drink how often, past 12 months",1.0
V00FFQSZ62,"SAQ:Block Brief 2000: real orange or grapefruit juice/Welch's grape juice/Minutemaid juices/Juicy Juice, how many glasses each time",1.0
V00FFQ63,"SAQ:Block Brief 2000: Hawaiian Punch/Sunny Delight/Hi-C/Tang/Ocean Spray juices, drink how often, past 12 months",1.0
V00FFQSZ63,"SAQ:Block Brief 2000: Hawaiian Punch/Sunny Delight/Hi-C/Tang/Ocean Spray juices, how many glasses each time",1.0
V00FFQ64,"SAQ:Block Brief 2000: Kool Aid/Capri Sun/Knudsen juices, drink how often, past 12 months",1.0
V00FFQSZ64,"SAQ:Block Brief 2000: Kool Aid/Capri Sun/Knudsen juices, how many glasses each time",1.0
V00FFQ65,"SAQ:Block Brief 2000: instant breakfast milkshakes, diet shakes, or liquid supplements, drink how often, past 12 months",1.0
V00FFQSZ65,"SAQ:Block Brief 2000: instant breakfast milkshakes, diet shakes, or liquid supplements, how many glasses or cans each time",1.0
V00FFQ66,"SAQ:Block Brief 2000: glasses of milk (any kind), drink how often, past 12 months",1.0
V00FFQSZ66,"SAQ:Block Brief 2000: milk (any kind), how many glasses each time",1.0
V00FFQ67,"SAQ:Block Brief 2000: glasses of milk, when drink what kind usually drink",1.0
V00FFQ68,"SAQ:Block Brief 2000: cream/half and half/non-dairy creamer in coffee or tea, drink how often, past 12 months",1.0
V00FFQSZ68,"SAQ:Block Brief 2000: cream/half and half/non-dairy creamer in coffee or tea, total TBSP on those days",1.0
V00FFQ69,"SAQ:Block Brief 2000: regular soft drinks/bottled drinks like Snapple (not diet drinks), drink how often, past 12 months",1.0
V00FFQSZ69,"SAQ:Block Brief 2000: regular soft drinks/bottled drinks (not diet drinks), how many bottles or cans each time",1.0
V00FFQ70,"SAQ:Block Brief 2000: beer, drink how often, past 12 months",1.0
V00FFQSZ70,"SAQ:Block Brief 2000: beer, how many bottles or cans each time",1.0
V00FFQ71,"SAQ:Block Brief 2000: wine/wine coolers, drink how often, past 12 months",1.0
V00FFQ72,"SAQ:Block Brief 2000: liquor/mixed drinks, drink how often, past 12 months",1.0
V00FFQ73,"SAQ:Block Brief 2000: vitamins/minerals, taken regularly (at least once per month), past 12 months",1.0
V00FFQYR74,"SAQ:Block Brief 2000: regular Once-A-Day/Centrum/Thera type multivitamins, how many years",1.0
V00FFQYR75,"SAQ:Block Brief 2000: Stress-tabs/B-Complex type multivitamins, how many years",1.0
V00FFQYR76,"SAQ:Block Brief 2000: Antioxidant combination type multivitamins, how many years",1.0
V00FFQYR77,"SAQ:Block Brief 2000: Vitamin A (not beta-carotene) single vitamins, how many years",1.0
V00FFQYR78,"SAQ:Block Brief 2000: Beta-carotene single vitamin, how many years",1.0
V00FFQYR79,"SAQ:Block Brief 2000: Vitamin C single vitamin, how many years",1.0
V00FFQYR80,"SAQ:Block Brief 2000: Vitamin E single vitamin, how many years",1.0
V00FFQYR81,"SAQ:Block Brief 2000: Folic acid, folate single vitamin, how many years",1.0
V00FFQYR82,"SAQ:Block Brief 2000: Calcium/Tums (alone or combined with Vitamin D or magnesium), how many years",1.0
V00FFQYR83,"SAQ:Block Brief 2000: Zinc alone, how many years",1.0
V00FFQYR84,"SAQ:Block Brief 2000: Iron alone, how many years",1.0
V00FFQYR85,"SAQ:Block Brief 2000: Selenium alone, how many years",1.0
V00FFQYR86,"SAQ:Block Brief 2000: Vitamin D, alone or with calcium, how many years",1.0
V00FFQ87,"SAQ:Block Brief 2000: Vitamin C, if took how many milligrams usually take on days taken, past 12 months",1.0
V00FFQ88,"SAQ:Vitamin D, if took how many IUs usually take on days taken, past 12 months",1.0
V00FFQ89,"SAQ:Block Brief 2000: Vitamin E, if took how many IUs usually take on days taken, past 12 months",1.0
V00VIT1,"SAQ:Regular Once-A-Day/Centrum/Thera type multiple vitamins, taken past 30 days",1.0
V00VIT2,"SAQ:Stress-tabs/B-Complex type multiple vitamins, taken past 30 days",1.0
V00VIT3,"SAQ:Antioxidant combination type multiple vitamins, taken past 30 days",1.0
V00VIT4,"SAQ:Vitamin A (not beta-carotene) single vitamin, taken past 30 days",1.0
V00VIT5,"SAQ:Beta-carotene single vitamin, taken past 30 days",1.0
V00VIT6,"SAQ:Vitamin C single vitamin, taken past 30 days",1.0
V00VIT7,"SAQ:Vitamin E single vitamin, taken past 30 days",1.0
V00VIT8,"SAQ:Folic acid, folate single vitamin, taken past 30 days",1.0
V00VIT9,"SAQ:Calcium or Tums (alone or combined with vitamin D or magnesium), taken past 30 days",1.0
V00VIT10,"SAQ:Zinc alone, taken past 30 days",1.0
V00VIT11,"SAQ:Iron alone, taken past 30 days",1.0
V00VIT12,"SAQ:Selenium alone, taken past 30 days",1.0
V00VIT13,"SAQ:Vitamin D (alone or combined with calcium), taken past 30 days",1.0
V00FFQ90,"SAQ:Block Brief 2000: fat or oil, how often use in cooking",1.0
V00FFQ91,"SAQ:Block Brief 2000: fat or oil usually use in cooking, PAM",1.0
V00FFQ92,"SAQ:Block Brief 2000: fat or oil usually use in cooking, stick margarine",1.0
V00FFQ93,"SAQ:Block Brief 2000: fat or oil usually use in cooking, soft tub margarine",1.0
V00FFQ94,"SAQ:Block Brief 2000: fat or oil usually use in cooking, butter",1.0
V00FFQ95,"SAQ:Block Brief 2000: fat or oil usually use in cooking, butter/margarine blend",1.0
V00FFQ96,"SAQ:Block Brief 2000: fat or oil usually use in cooking, low-fat margarine",1.0
V00FFQ97,"SAQ:Block Brief 2000: fat or oil usually use in cooking, corn oil/vegetable oil",1.0
V00FFQ98,"SAQ:Block Brief 2000: fat or oil usually use in cooking, olive oil/canola oil",1.0
V00FFQ99,"SAQ:Block Brief 2000: fat or oil usually use in cooking, lard/fatback/bacon fat",1.0
V00FFQ100,"SAQ:Block Brief 2000: fat or oil usually use in cooking, Crisco",1.0
V00FFQ101,"SAQ:Block Brief 2000: fat or oil usually use in cooking, don't know",1.0
V00FFQ102,SAQ:Block Brief 2000: do not use fat or oil in cooking,1.0
V00MVIT1CV,"SAQ:Block Brief 2000: Regular Once-A-Day, Centrum or Thera type multivitamins, how often past 12 months (calc)",1.0
V00STRTBCV,"SAQ:Block Brief 2000: Stress-tabs or B-Complex type multivitamins, how often past 12 months (calc)",1.0
V00ANTOXCV,"SAQ:Block Brief 2000: Antioxidant combination type multivitamins, how often past 12 months (calc)",1.0
V00VITACV,"SAQ:Block Brief 2000: Vitamin A (not beta-carotene) single vitamin, how often past 12 months (calc)",1.0
V00BCARCV,"SAQ:Block Brief 2000: Beta-carotene single vitamin, how often past 12 months (calc)",1.0
V00VITECV,"SAQ:Block Brief 2000: Vitamin E single vitamin, how often past 12 months (calc)",1.0
V00FOLATCV,"SAQ:Block Brief 2000: Folic acid, folate single vitamin, how often past 12 months (calc)",1.0
V00CALCMCV,"SAQ:Block Brief 2000: Calcium/Tums (alone or combined with Vitamin D or magnesium), how often past 12 months (calc)",1.0
V00ZINCCV,"SAQ:Block Brief 2000: Zinc alone, how often past 12 months (calc)",1.0
V00IRONCV,"SAQ:Block Brief 2000: Iron alone, how often past 12 months (calc)",1.0
V00SLNMCV,"SAQ:Block Brief 2000: Selenium alone, how often past 12 months (calc)",1.0
V00VITDCV,"SAQ:Block Brief 2000: Vitamin D, alone or with calcium, how often past 12 months (calc)",1.0
V00VITCCV,"SAQ:Block Brief 2000: Vitamin C single vitamin, how often past 12 months (calc)",1.0
V00DTDFIB,"SAQ:Block Brief 2000: daily nutrients from food, total dietary fiber (g) (calc)",1.0
V00SUPVITD,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, vitamin D (IU) (calc)",1.0
V00FIBVGFR,SAQ:Block Brief 2000: daily dietary fiber from vegetables and fruits (g) (calc),1.0
V00SUPB12,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, B12 (ug) (calc)",1.0
V00DTCAFFN,"SAQ:Block Brief 2000: daily nutrients from food, caffeine (mg) (calc)",1.0
V00SRVFAT,"SAQ:Block Brief 2000: daily servings of fats, oils, sweets and sodas (calc)",1.0
V00DTAIU,"SAQ:Block Brief 2000: daily nutrients from food, vitamin A (IU) (calc)",1.0
V00DTCHOL,"SAQ:Block Brief 2000: daily nutrients from food, cholesterol (mg) (calc)",1.0
V00PCTCOL1,"SAQ:Block Brief 2000: error flag, percent of foods marked as never (calc)",1.0
V00DTPHOS,"SAQ:Block Brief 2000: daily nutrients from food, phosphorus (mg) (calc)",1.0
V00DTVITC,"SAQ:Block Brief 2000: daily nutrients from food, vitamin C (mg) (calc)",1.0
V00DTB1,"SAQ:Block Brief 2000: daily nutrients from food, thiamin (B1) (mg) (calc)",1.0
V00PCTXLS,"SAQ:Block Brief 2000: error flag, percent of foods marked as extra large portion (calc)",1.0
V00SUPB2,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, B2 (mg) (calc)",1.0
V00PCTCOL9,"SAQ:Block Brief 2000: error flag, percent of foods marked as every day (calc)",1.0
V00DTVITK,"SAQ:Block Brief 2000: daily nutrients from food, vitamin K (ug) (calc)",1.0
V00DTRET,"SAQ:Block Brief 2000: daily nutrients from food, retinol (preformed Vit. A, ug) (calc)",1.0
V00SUPVITE,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, vitamin E (a-TE) (calc)",1.0
V00SUPNIAC,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, niacin (mg) (calc)",1.0
V00DTANZN,"SAQ:Block Brief 2000: daily nutrients from food, zinc from animal sources (mg) (calc)",1.0
V00DTLUT,"SAQ:Block Brief 2000: daily nutrients from food, lutein (carotenoid) (ug) (calc)",1.0
V00BAPFAT,"SAQ:Block Brief 2000: daily % of calories from fat, alcoholic beverages excluded from denominator (kcal) (calc)",1.0
V00PCTCARB,SAQ:Block Brief 2000: daily percent of calories from carbohydrate (kcal) (calc),1.0
V00PCTSWT,"SAQ:Block Brief 2000: daily percent of calories from sweets, desserts (kcal) (calc)",1.0
V00DTACAR,"SAQ:Block Brief 2000: daily nutrients from food, alpha-carotene (ug) (calc)",1.0
V00SUPCA,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, calcium (mg) (calc)",1.0
V00SRVGRN,"SAQ:Block Brief 2000: daily servings of bread, cereals, rice and pasta (calc)",1.0
V00SRVFRT,SAQ:Block Brief 2000: daily servings of fruits and fruit juices (calc),1.0
V00SUPFOL,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, folate (mcg) (calc)",1.0
V00DTBCAR,"SAQ:Block Brief 2000: daily nutrients from food, beta-carotene (ug) (calc)",1.0
V00DTPROT,"SAQ:Block Brief 2000: daily nutrients from food, protein (g) (calc)",1.0
V00NWARNS,"SAQ:Block Brief 2000: error flag, how many warnings were applied (calc)",1.0
V00DTPOTA,"SAQ:Block Brief 2000: daily nutrients from food, potassium (mg) (calc)",1.0
V00DTSFAT,"SAQ:Block Brief 2000: daily nutrients from food, saturated fat (g) (calc)",1.0
V00SUPVITC,"SAQ:Block Brief 2000: average daily nutrients supplements, vitamin C (mg) (calc)",1.0
V00DTOLEC,"SAQ:Block Brief 2000: daily nutrients from food, monounsaturated fat (g) (calc)",1.0
V00SUPBCAR,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, beta-carotene (ug) (calc)",1.0
V00DTKCAL,"SAQ:Block Brief 2000: daily nutrients from food, calories (Kcal) (calc)",1.0
V00BAPPROT,"SAQ:Block Brief 2000: daily % of calories from protein, alcoholic beverages excluded from denominator (kcal) (calc)",1.0
V00BAPCARB,"SAQ:Block Brief 2000: daily % of calories from carbohydrate, alcoholic beverages excluded from denominator (kcal) (calc)",1.0
V00SUPVITA,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, vitamin A (IU) (calc)",1.0
V00SUPB6,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, B6 (mg) (calc)",1.0
V00NFDSDAY,"SAQ:Block Brief 2000: error flag, number of solid foods consumed per day (calc)",1.0
V00DTNIAC,"SAQ:Block Brief 2000: daily nutrients from food, niacin (mg) (calc)",1.0
V00FIBBEAN,SAQ:Block Brief 2000: daily dietary fiber from beans (g) (calc),1.0
V00DTNA,"SAQ:Block Brief 2000: daily nutrients from food, sodium (mg) (calc)",1.0
V00DTARE,"SAQ:Block Brief 2000: daily nutrients from food, vitamin A (RE) (calc)",1.0
V00DTLYC,"SAQ:Block Brief 2000: daily nutrients from food, lycopene (carotenoid) (ug) (calc)",1.0
V00DTFAT,"SAQ:Block Brief 2000: daily nutrients from food, total fat (g) (calc)",1.0
V00PCTSMAL,"SAQ:Block Brief 2000: error flag, percent of foods marked as small portion (calc)",1.0
V00SUPFE,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, iron (mg) (calc)",1.0
V00SUPCU,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, copper (mg) (calc)",1.0
V00DTB12,"SAQ:Block Brief 2000: daily nutrients from food, vitamin B12 (ug) (calc)",1.0
V00DTGEN,"SAQ:Block Brief 2000: daily nutrients from food, genistein (ug) (calc)",1.0
V00DTMETH,"SAQ:Block Brief 2000: daily nutrients from food, methionine (mg) (calc)",1.0
V00SUPZINC,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, zinc (mg) (calc)",1.0
V00SRVVEG,SAQ:Block Brief 2000: daily servings of vegetables (calc),1.0
V00DTCALC,"SAQ:Block Brief 2000: daily nutrients from food, calcium (mg) (calc)",1.0
V00SUPMG,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, magnesium (mg) (calc)",1.0
V00DTDAID,"SAQ:Block Brief 2000: daily nutrients from food, daidzein (ug) (calc)",1.0
V00SRVMEAT,"SAQ:Block Brief 2000: daily servings of meat, fish, poultry, beans and eggs (calc)",1.0
V00DTFE,"SAQ:Block Brief 2000: daily nutrients from food, iron (mg) (calc)",1.0
V00FIBGRN,SAQ:Block Brief 2000: daily dietary fiber from grains (g) (calc),1.0
V00DTCYST,"SAQ:Block Brief 2000: daily nutrients from food, cysteine (mg) (calc)",1.0
V00DTSF,"SAQ:Block Brief 2000: grams of solid food (g), per week (calc)",1.0
V00PCTPROT,SAQ:Block Brief 2000: daily percent of calories from protein (kcal) (calc),1.0
V00SRVDRY,"SAQ:Block Brief 2000: daily servings of milk, yogurt and cheese (calc)",1.0
V00DTB6,"SAQ:Block Brief 2000: daily nutrients from food, vitamin B6 (mg) (calc)",1.0
V00SUPB1,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, B1 (mg) (calc)",1.0
V00SUPSE,"SAQ:Block Brief 2000: average daily nutrients from vitamin supplements, selenium (mcg) (calc)",1.0
V00DTMG,"SAQ:Block Brief 2000: daily nutrients from food, magnesium (mg) (calc)",1.0
V00PCTFAT,SAQ:Block Brief 2000: daily percent of calories from fat (kcal) (calc),1.0
V00DTVITD,"SAQ:Block Brief 2000: daily nutrients from food, vitamin D (IU) (calc)",1.0
